p cnf 120 280840
-1 -3 -37 0
-1 -3 -38 0
-1 -3 -39 0
-1 -3 -40 0
-1 -3 -41 0
-1 -3 -42 0
-1 -3 -43 0
-1 -3 -44 0
-1 -3 -45 0
-1 -3 -46 0
-1 -3 -47 0
-1 -3 -48 0
-1 -3 -49 0
-1 -3 -50 0
-1 -3 -51 0
-1 -3 -52 0
-1 -3 -53 0
-1 -3 -54 0
-1 -3 -55 0
-1 -3 -56 0
-1 -3 -57 0
-1 -3 -58 0
-1 -3 -59 0
-1 -3 -60 0
-1 -3 -61 0
-1 -3 -62 0
-1 -3 -63 0
-1 -3 -64 0
-1 -3 -65 0
-1 -3 -66 0
-1 -3 -67 0
-1 -3 -68 0
-1 -3 -69 0
-1 -3 -70 0
-1 -3 -71 0
-1 -3 -72 0
-1 -3 -73 0
-1 -3 -74 0
-1 -3 -75 0
-1 -3 -76 0
-1 -3 -77 0
-1 -3 -78 0
-1 -3 -79 0
-1 -3 -80 0
-1 -3 -81 0
-1 -3 -82 0
-1 -3 -83 0
-1 -3 -84 0
-1 -3 -85 0
-1 -3 -86 0
-1 -3 -87 0
-1 -3 -88 0
-1 -3 -89 0
-1 -3 -90 0
-1 -3 -91 0
-1 -3 -92 0
-1 -3 -93 0
-1 -3 -94 0
-1 -3 -95 0
-1 -3 -96 0
-1 -3 -97 0
-1 -3 -98 0
-1 -3 -99 0
-1 -3 -100 0
-1 -3 -101 0
-1 -3 -102 0
-1 -3 -103 0
-1 -3 -104 0
-1 -3 -105 0
-1 -3 -106 0
-1 -3 -107 0
-1 -3 -108 0
-1 -3 -109 0
-1 -3 -110 0
-1 -3 -111 0
-1 -3 -112 0
-1 -3 -113 0
-1 -3 -114 0
-1 -3 -115 0
-1 -3 -116 0
-1 -3 -117 0
-1 -3 -118 0
-1 -3 -119 0
-1 -3 -120 0
-1 -4 -5 0
-1 -4 -6 0
-1 -4 -7 0
-1 -4 -8 0
-1 -4 -9 0
-1 -4 -10 0
-1 -4 -11 0
-1 -4 -12 0
-1 -4 -13 0
-1 -4 -14 0
-1 -4 -15 0
-1 -4 -16 0
-1 -4 -17 0
-1 -4 -18 0
-1 -4 -19 0
-1 -4 -20 0
-1 -4 -21 0
-1 -4 -22 0
-1 -4 -23 0
-1 -4 -24 0
-1 -4 -25 0
-1 -4 -26 0
-1 -4 -27 0
-1 -4 -28 0
-1 -4 -29 0
-1 -4 -30 0
-1 -4 -31 0
-1 -4 -32 0
-1 -4 -33 0
-1 -4 -34 0
-1 -4 -35 0
-1 -4 -36 0
-1 -4 -37 0
-1 -4 -38 0
-1 -4 -39 0
-1 -4 -40 0
-1 -4 -41 0
-1 -4 -42 0
-1 -4 -43 0
-1 -4 -44 0
-1 -4 -45 0
-1 -4 -46 0
-1 -4 -47 0
-1 -4 -48 0
-1 -4 -49 0
-1 -4 -50 0
-1 -4 -51 0
-1 -4 -52 0
-1 -4 -53 0
-1 -4 -54 0
-1 -4 -55 0
-1 -4 -56 0
-1 -4 -57 0
-1 -4 -58 0
-1 -4 -59 0
-1 -4 -60 0
-1 -4 -61 0
-1 -4 -62 0
-1 -4 -63 0
-1 -4 -64 0
-1 -4 -65 0
-1 -4 -66 0
-1 -4 -67 0
-1 -4 -68 0
-1 -4 -69 0
-1 -4 -70 0
-1 -4 -71 0
-1 -4 -72 0
-1 -4 -73 0
-1 -4 -74 0
-1 -4 -75 0
-1 -4 -76 0
-1 -4 -77 0
-1 -4 -78 0
-1 -4 -79 0
-1 -4 -80 0
-1 -4 -81 0
-1 -4 -82 0
-1 -4 -83 0
-1 -4 -84 0
-1 -4 -85 0
-1 -4 -86 0
-1 -4 -87 0
-1 -4 -88 0
-1 -4 -89 0
-1 -4 -90 0
-1 -4 -91 0
-1 -4 -92 0
-1 -4 -93 0
-1 -4 -94 0
-1 -4 -95 0
-1 -4 -96 0
-1 -4 -97 0
-1 -4 -98 0
-1 -4 -99 0
-1 -4 -100 0
-1 -4 -101 0
-1 -4 -102 0
-1 -4 -103 0
-1 -4 -104 0
-1 -4 -105 0
-1 -4 -106 0
-1 -4 -107 0
-1 -4 -108 0
-1 -4 -109 0
-1 -4 -110 0
-1 -4 -111 0
-1 -4 -112 0
-1 -4 -113 0
-1 -4 -114 0
-1 -4 -115 0
-1 -4 -116 0
-1 -4 -117 0
-1 -4 -118 0
-1 -4 -119 0
-1 -4 -120 0
-1 -5 -6 0
-1 -5 -7 0
-1 -5 -8 0
-1 -5 -9 0
-1 -5 -10 0
-1 -5 -11 0
-1 -5 -12 0
-1 -5 -13 0
-1 -5 -14 0
-1 -5 -15 0
-1 -5 -16 0
-1 -5 -17 0
-1 -5 -18 0
-1 -5 -19 0
-1 -5 -20 0
-1 -5 -21 0
-1 -5 -22 0
-1 -5 -23 0
-1 -5 -24 0
-1 -5 -25 0
-1 -5 -26 0
-1 -5 -27 0
-1 -5 -28 0
-1 -5 -29 0
-1 -5 -30 0
-1 -5 -31 0
-1 -5 -32 0
-1 -5 -33 0
-1 -5 -34 0
-1 -5 -35 0
-1 -5 -36 0
-1 -5 -37 0
-1 -5 -38 0
-1 -5 -39 0
-1 -5 -40 0
-1 -5 -41 0
-1 -5 -42 0
-1 -5 -43 0
-1 -5 -44 0
-1 -5 -45 0
-1 -5 -46 0
-1 -5 -47 0
-1 -5 -48 0
-1 -5 -49 0
-1 -5 -50 0
-1 -5 -51 0
-1 -5 -52 0
-1 -5 -53 0
-1 -5 -54 0
-1 -5 -55 0
-1 -5 -56 0
-1 -5 -57 0
-1 -5 -58 0
-1 -5 -59 0
-1 -5 -60 0
-1 -5 -61 0
-1 -5 -62 0
-1 -5 -63 0
-1 -5 -64 0
-1 -5 -65 0
-1 -5 -66 0
-1 -5 -67 0
-1 -5 -68 0
-1 -5 -69 0
-1 -5 -70 0
-1 -5 -71 0
-1 -5 -72 0
-1 -5 -73 0
-1 -5 -74 0
-1 -5 -75 0
-1 -5 -76 0
-1 -5 -77 0
-1 -5 -78 0
-1 -5 -79 0
-1 -5 -80 0
-1 -5 -81 0
-1 -5 -82 0
-1 -5 -83 0
-1 -5 -84 0
-1 -5 -85 0
-1 -5 -86 0
-1 -5 -87 0
-1 -5 -88 0
-1 -5 -89 0
-1 -5 -90 0
-1 -5 -91 0
-1 -5 -92 0
-1 -5 -93 0
-1 -5 -94 0
-1 -5 -95 0
-1 -5 -96 0
-1 -5 -97 0
-1 -5 -98 0
-1 -5 -99 0
-1 -5 -100 0
-1 -5 -101 0
-1 -5 -102 0
-1 -5 -103 0
-1 -5 -104 0
-1 -5 -105 0
-1 -5 -106 0
-1 -5 -107 0
-1 -5 -108 0
-1 -5 -109 0
-1 -5 -110 0
-1 -5 -111 0
-1 -5 -112 0
-1 -5 -113 0
-1 -5 -114 0
-1 -5 -115 0
-1 -5 -116 0
-1 -5 -117 0
-1 -5 -118 0
-1 -5 -119 0
-1 -5 -120 0
-1 -6 -7 0
-1 -6 -8 0
-1 -6 -9 0
-1 -6 -10 0
-1 -6 -11 0
-1 -6 -12 0
-1 -6 -13 0
-1 -6 -14 0
-1 -6 -15 0
-1 -6 -16 0
-1 -6 -17 0
-1 -6 -18 0
-1 -6 -19 0
-1 -6 -20 0
-1 -6 -21 0
-1 -6 -22 0
-1 -6 -23 0
-1 -6 -24 0
-1 -6 -25 0
-1 -6 -26 0
-1 -6 -27 0
-1 -6 -28 0
-1 -6 -29 0
-1 -6 -30 0
-1 -6 -31 0
-1 -6 -32 0
-1 -6 -33 0
-1 -6 -34 0
-1 -6 -35 0
-1 -6 -36 0
-1 -6 -37 0
-1 -6 -38 0
-1 -6 -39 0
-1 -6 -40 0
-1 -6 -41 0
-1 -6 -42 0
-1 -6 -43 0
-1 -6 -44 0
-1 -6 -45 0
-1 -6 -46 0
-1 -6 -47 0
-1 -6 -48 0
-1 -6 -49 0
-1 -6 -50 0
-1 -6 -51 0
-1 -6 -52 0
-1 -6 -53 0
-1 -6 -54 0
-1 -6 -55 0
-1 -6 -56 0
-1 -6 -57 0
-1 -6 -58 0
-1 -6 -59 0
-1 -6 -60 0
-1 -6 -61 0
-1 -6 -62 0
-1 -6 -63 0
-1 -6 -64 0
-1 -6 -65 0
-1 -6 -66 0
-1 -6 -67 0
-1 -6 -68 0
-1 -6 -69 0
-1 -6 -70 0
-1 -6 -71 0
-1 -6 -72 0
-1 -6 -73 0
-1 -6 -74 0
-1 -6 -75 0
-1 -6 -76 0
-1 -6 -77 0
-1 -6 -78 0
-1 -6 -79 0
-1 -6 -80 0
-1 -6 -81 0
-1 -6 -82 0
-1 -6 -83 0
-1 -6 -84 0
-1 -6 -85 0
-1 -6 -86 0
-1 -6 -87 0
-1 -6 -88 0
-1 -6 -89 0
-1 -6 -90 0
-1 -6 -91 0
-1 -6 -92 0
-1 -6 -93 0
-1 -6 -94 0
-1 -6 -95 0
-1 -6 -96 0
-1 -6 -97 0
-1 -6 -98 0
-1 -6 -99 0
-1 -6 -100 0
-1 -6 -101 0
-1 -6 -102 0
-1 -6 -103 0
-1 -6 -104 0
-1 -6 -105 0
-1 -6 -106 0
-1 -6 -107 0
-1 -6 -108 0
-1 -6 -109 0
-1 -6 -110 0
-1 -6 -111 0
-1 -6 -112 0
-1 -6 -113 0
-1 -6 -114 0
-1 -6 -115 0
-1 -6 -116 0
-1 -6 -117 0
-1 -6 -118 0
-1 -6 -119 0
-1 -6 -120 0
-1 -7 -8 0
-1 -7 -9 0
-1 -7 -10 0
-1 -7 -11 0
-1 -7 -12 0
-1 -7 -13 0
-1 -7 -14 0
-1 -7 -15 0
-1 -7 -16 0
-1 -7 -17 0
-1 -7 -18 0
-1 -7 -19 0
-1 -7 -20 0
-1 -7 -21 0
-1 -7 -22 0
-1 -7 -23 0
-1 -7 -24 0
-1 -7 -25 0
-1 -7 -26 0
-1 -7 -27 0
-1 -7 -28 0
-1 -7 -29 0
-1 -7 -30 0
-1 -7 -31 0
-1 -7 -32 0
-1 -7 -33 0
-1 -7 -34 0
-1 -7 -35 0
-1 -7 -36 0
-1 -7 -37 0
-1 -7 -38 0
-1 -7 -39 0
-1 -7 -40 0
-1 -7 -41 0
-1 -7 -42 0
-1 -7 -43 0
-1 -7 -44 0
-1 -7 -45 0
-1 -7 -46 0
-1 -7 -47 0
-1 -7 -48 0
-1 -7 -49 0
-1 -7 -50 0
-1 -7 -51 0
-1 -7 -52 0
-1 -7 -53 0
-1 -7 -54 0
-1 -7 -55 0
-1 -7 -56 0
-1 -7 -57 0
-1 -7 -58 0
-1 -7 -59 0
-1 -7 -60 0
-1 -7 -61 0
-1 -7 -62 0
-1 -7 -63 0
-1 -7 -64 0
-1 -7 -65 0
-1 -7 -66 0
-1 -7 -67 0
-1 -7 -68 0
-1 -7 -69 0
-1 -7 -70 0
-1 -7 -71 0
-1 -7 -72 0
-1 -7 -73 0
-1 -7 -74 0
-1 -7 -75 0
-1 -7 -76 0
-1 -7 -77 0
-1 -7 -78 0
-1 -7 -79 0
-1 -7 -80 0
-1 -7 -81 0
-1 -7 -82 0
-1 -7 -83 0
-1 -7 -84 0
-1 -7 -85 0
-1 -7 -86 0
-1 -7 -87 0
-1 -7 -88 0
-1 -7 -89 0
-1 -7 -90 0
-1 -7 -91 0
-1 -7 -92 0
-1 -7 -93 0
-1 -7 -94 0
-1 -7 -95 0
-1 -7 -96 0
-1 -7 -97 0
-1 -7 -98 0
-1 -7 -99 0
-1 -7 -100 0
-1 -7 -101 0
-1 -7 -102 0
-1 -7 -103 0
-1 -7 -104 0
-1 -7 -105 0
-1 -7 -106 0
-1 -7 -107 0
-1 -7 -108 0
-1 -7 -109 0
-1 -7 -110 0
-1 -7 -111 0
-1 -7 -112 0
-1 -7 -113 0
-1 -7 -114 0
-1 -7 -115 0
-1 -7 -116 0
-1 -7 -117 0
-1 -7 -118 0
-1 -7 -119 0
-1 -7 -120 0
-1 -8 -9 0
-1 -8 -10 0
-1 -8 -11 0
-1 -8 -12 0
-1 -8 -13 0
-1 -8 -14 0
-1 -8 -15 0
-1 -8 -16 0
-1 -8 -17 0
-1 -8 -18 0
-1 -8 -19 0
-1 -8 -20 0
-1 -8 -21 0
-1 -8 -22 0
-1 -8 -23 0
-1 -8 -24 0
-1 -8 -25 0
-1 -8 -26 0
-1 -8 -27 0
-1 -8 -28 0
-1 -8 -29 0
-1 -8 -30 0
-1 -8 -31 0
-1 -8 -32 0
-1 -8 -33 0
-1 -8 -34 0
-1 -8 -35 0
-1 -8 -36 0
-1 -8 -37 0
-1 -8 -38 0
-1 -8 -39 0
-1 -8 -40 0
-1 -8 -41 0
-1 -8 -42 0
-1 -8 -43 0
-1 -8 -44 0
-1 -8 -45 0
-1 -8 -46 0
-1 -8 -47 0
-1 -8 -48 0
-1 -8 -49 0
-1 -8 -50 0
-1 -8 -51 0
-1 -8 -52 0
-1 -8 -53 0
-1 -8 -54 0
-1 -8 -55 0
-1 -8 -56 0
-1 -8 -57 0
-1 -8 -58 0
-1 -8 -59 0
-1 -8 -60 0
-1 -8 -61 0
-1 -8 -62 0
-1 -8 -63 0
-1 -8 -64 0
-1 -8 -65 0
-1 -8 -66 0
-1 -8 -67 0
-1 -8 -68 0
-1 -8 -69 0
-1 -8 -70 0
-1 -8 -71 0
-1 -8 -72 0
-1 -8 -73 0
-1 -8 -74 0
-1 -8 -75 0
-1 -8 -76 0
-1 -8 -77 0
-1 -8 -78 0
-1 -8 -79 0
-1 -8 -80 0
-1 -8 -81 0
-1 -8 -82 0
-1 -8 -83 0
-1 -8 -84 0
-1 -8 -85 0
-1 -8 -86 0
-1 -8 -87 0
-1 -8 -88 0
-1 -8 -89 0
-1 -8 -90 0
-1 -8 -91 0
-1 -8 -92 0
-1 -8 -93 0
-1 -8 -94 0
-1 -8 -95 0
-1 -8 -96 0
-1 -8 -97 0
-1 -8 -98 0
-1 -8 -99 0
-1 -8 -100 0
-1 -8 -101 0
-1 -8 -102 0
-1 -8 -103 0
-1 -8 -104 0
-1 -8 -105 0
-1 -8 -106 0
-1 -8 -107 0
-1 -8 -108 0
-1 -8 -109 0
-1 -8 -110 0
-1 -8 -111 0
-1 -8 -112 0
-1 -8 -113 0
-1 -8 -114 0
-1 -8 -115 0
-1 -8 -116 0
-1 -8 -117 0
-1 -8 -118 0
-1 -8 -119 0
-1 -8 -120 0
-1 -9 -10 0
-1 -9 -11 0
-1 -9 -12 0
-1 -9 -13 0
-1 -9 -14 0
-1 -9 -15 0
-1 -9 -16 0
-1 -9 -17 0
-1 -9 -18 0
-1 -9 -19 0
-1 -9 -20 0
-1 -9 -21 0
-1 -9 -22 0
-1 -9 -23 0
-1 -9 -24 0
-1 -9 -25 0
-1 -9 -26 0
-1 -9 -27 0
-1 -9 -28 0
-1 -9 -29 0
-1 -9 -30 0
-1 -9 -31 0
-1 -9 -32 0
-1 -9 -33 0
-1 -9 -34 0
-1 -9 -35 0
-1 -9 -36 0
-1 -9 -37 0
-1 -9 -38 0
-1 -9 -39 0
-1 -9 -40 0
-1 -9 -41 0
-1 -9 -42 0
-1 -9 -43 0
-1 -9 -44 0
-1 -9 -45 0
-1 -9 -46 0
-1 -9 -47 0
-1 -9 -48 0
-1 -9 -49 0
-1 -9 -50 0
-1 -9 -51 0
-1 -9 -52 0
-1 -9 -53 0
-1 -9 -54 0
-1 -9 -55 0
-1 -9 -56 0
-1 -9 -57 0
-1 -9 -58 0
-1 -9 -59 0
-1 -9 -60 0
-1 -9 -61 0
-1 -9 -62 0
-1 -9 -63 0
-1 -9 -64 0
-1 -9 -65 0
-1 -9 -66 0
-1 -9 -67 0
-1 -9 -68 0
-1 -9 -69 0
-1 -9 -70 0
-1 -9 -71 0
-1 -9 -72 0
-1 -9 -73 0
-1 -9 -74 0
-1 -9 -75 0
-1 -9 -76 0
-1 -9 -77 0
-1 -9 -78 0
-1 -9 -79 0
-1 -9 -80 0
-1 -9 -81 0
-1 -9 -82 0
-1 -9 -83 0
-1 -9 -84 0
-1 -9 -85 0
-1 -9 -86 0
-1 -9 -87 0
-1 -9 -88 0
-1 -9 -89 0
-1 -9 -90 0
-1 -9 -91 0
-1 -9 -92 0
-1 -9 -93 0
-1 -9 -94 0
-1 -9 -95 0
-1 -9 -96 0
-1 -9 -97 0
-1 -9 -98 0
-1 -9 -99 0
-1 -9 -100 0
-1 -9 -101 0
-1 -9 -102 0
-1 -9 -103 0
-1 -9 -104 0
-1 -9 -105 0
-1 -9 -106 0
-1 -9 -107 0
-1 -9 -108 0
-1 -9 -109 0
-1 -9 -110 0
-1 -9 -111 0
-1 -9 -112 0
-1 -9 -113 0
-1 -9 -114 0
-1 -9 -115 0
-1 -9 -116 0
-1 -9 -117 0
-1 -9 -118 0
-1 -9 -119 0
-1 -9 -120 0
-1 -10 -11 0
-1 -10 -12 0
-1 -10 -13 0
-1 -10 -14 0
-1 -10 -15 0
-1 -10 -16 0
-1 -10 -17 0
-1 -10 -18 0
-1 -10 -19 0
-1 -10 -20 0
-1 -10 -21 0
-1 -10 -22 0
-1 -10 -23 0
-1 -10 -24 0
-1 -10 -25 0
-1 -10 -26 0
-1 -10 -27 0
-1 -10 -28 0
-1 -10 -29 0
-1 -10 -30 0
-1 -10 -31 0
-1 -10 -32 0
-1 -10 -33 0
-1 -10 -34 0
-1 -10 -35 0
-1 -10 -36 0
-1 -10 -37 0
-1 -10 -38 0
-1 -10 -39 0
-1 -10 -40 0
-1 -10 -41 0
-1 -10 -42 0
-1 -10 -43 0
-1 -10 -44 0
-1 -10 -45 0
-1 -10 -46 0
-1 -10 -47 0
-1 -10 -48 0
-1 -10 -49 0
-1 -10 -50 0
-1 -10 -51 0
-1 -10 -52 0
-1 -10 -53 0
-1 -10 -54 0
-1 -10 -55 0
-1 -10 -56 0
-1 -10 -57 0
-1 -10 -58 0
-1 -10 -59 0
-1 -10 -60 0
-1 -10 -61 0
-1 -10 -62 0
-1 -10 -63 0
-1 -10 -64 0
-1 -10 -65 0
-1 -10 -66 0
-1 -10 -67 0
-1 -10 -68 0
-1 -10 -69 0
-1 -10 -70 0
-1 -10 -71 0
-1 -10 -72 0
-1 -10 -73 0
-1 -10 -74 0
-1 -10 -75 0
-1 -10 -76 0
-1 -10 -77 0
-1 -10 -78 0
-1 -10 -79 0
-1 -10 -80 0
-1 -10 -81 0
-1 -10 -82 0
-1 -10 -83 0
-1 -10 -84 0
-1 -10 -85 0
-1 -10 -86 0
-1 -10 -87 0
-1 -10 -88 0
-1 -10 -89 0
-1 -10 -90 0
-1 -10 -91 0
-1 -10 -92 0
-1 -10 -93 0
-1 -10 -94 0
-1 -10 -95 0
-1 -10 -96 0
-1 -10 -97 0
-1 -10 -98 0
-1 -10 -99 0
-1 -10 -100 0
-1 -10 -101 0
-1 -10 -102 0
-1 -10 -103 0
-1 -10 -104 0
-1 -10 -105 0
-1 -10 -106 0
-1 -10 -107 0
-1 -10 -108 0
-1 -10 -109 0
-1 -10 -110 0
-1 -10 -111 0
-1 -10 -112 0
-1 -10 -113 0
-1 -10 -114 0
-1 -10 -115 0
-1 -10 -116 0
-1 -10 -117 0
-1 -10 -118 0
-1 -10 -119 0
-1 -10 -120 0
-1 -11 -12 0
-1 -11 -13 0
-1 -11 -14 0
-1 -11 -15 0
-1 -11 -16 0
-1 -11 -17 0
-1 -11 -18 0
-1 -11 -19 0
-1 -11 -20 0
-1 -11 -21 0
-1 -11 -22 0
-1 -11 -23 0
-1 -11 -24 0
-1 -11 -25 0
-1 -11 -26 0
-1 -11 -27 0
-1 -11 -28 0
-1 -11 -29 0
-1 -11 -30 0
-1 -11 -31 0
-1 -11 -32 0
-1 -11 -33 0
-1 -11 -34 0
-1 -11 -35 0
-1 -11 -36 0
-1 -11 -37 0
-1 -11 -38 0
-1 -11 -39 0
-1 -11 -40 0
-1 -11 -41 0
-1 -11 -42 0
-1 -11 -43 0
-1 -11 -44 0
-1 -11 -45 0
-1 -11 -46 0
-1 -11 -47 0
-1 -11 -48 0
-1 -11 -49 0
-1 -11 -50 0
-1 -11 -51 0
-1 -11 -52 0
-1 -11 -53 0
-1 -11 -54 0
-1 -11 -55 0
-1 -11 -56 0
-1 -11 -57 0
-1 -11 -58 0
-1 -11 -59 0
-1 -11 -60 0
-1 -11 -61 0
-1 -11 -62 0
-1 -11 -63 0
-1 -11 -64 0
-1 -11 -65 0
-1 -11 -66 0
-1 -11 -67 0
-1 -11 -68 0
-1 -11 -69 0
-1 -11 -70 0
-1 -11 -71 0
-1 -11 -72 0
-1 -11 -73 0
-1 -11 -74 0
-1 -11 -75 0
-1 -11 -76 0
-1 -11 -77 0
-1 -11 -78 0
-1 -11 -79 0
-1 -11 -80 0
-1 -11 -81 0
-1 -11 -82 0
-1 -11 -83 0
-1 -11 -84 0
-1 -11 -85 0
-1 -11 -86 0
-1 -11 -87 0
-1 -11 -88 0
-1 -11 -89 0
-1 -11 -90 0
-1 -11 -91 0
-1 -11 -92 0
-1 -11 -93 0
-1 -11 -94 0
-1 -11 -95 0
-1 -11 -96 0
-1 -11 -97 0
-1 -11 -98 0
-1 -11 -99 0
-1 -11 -100 0
-1 -11 -101 0
-1 -11 -102 0
-1 -11 -103 0
-1 -11 -104 0
-1 -11 -105 0
-1 -11 -106 0
-1 -11 -107 0
-1 -11 -108 0
-1 -11 -109 0
-1 -11 -110 0
-1 -11 -111 0
-1 -11 -112 0
-1 -11 -113 0
-1 -11 -114 0
-1 -11 -115 0
-1 -11 -116 0
-1 -11 -117 0
-1 -11 -118 0
-1 -11 -119 0
-1 -11 -120 0
-1 -12 -13 0
-1 -12 -14 0
-1 -12 -15 0
-1 -12 -16 0
-1 -12 -17 0
-1 -12 -18 0
-1 -12 -19 0
-1 -12 -20 0
-1 -12 -21 0
-1 -12 -22 0
-1 -12 -23 0
-1 -12 -24 0
-1 -12 -25 0
-1 -12 -26 0
-1 -12 -27 0
-1 -12 -28 0
-1 -12 -29 0
-1 -12 -30 0
-1 -12 -31 0
-1 -12 -32 0
-1 -12 -33 0
-1 -12 -34 0
-1 -12 -35 0
-1 -12 -36 0
-1 -12 -37 0
-1 -12 -38 0
-1 -12 -39 0
-1 -12 -40 0
-1 -12 -41 0
-1 -12 -42 0
-1 -12 -43 0
-1 -12 -44 0
-1 -12 -45 0
-1 -12 -46 0
-1 -12 -47 0
-1 -12 -48 0
-1 -12 -49 0
-1 -12 -50 0
-1 -12 -51 0
-1 -12 -52 0
-1 -12 -53 0
-1 -12 -54 0
-1 -12 -55 0
-1 -12 -56 0
-1 -12 -57 0
-1 -12 -58 0
-1 -12 -59 0
-1 -12 -60 0
-1 -12 -61 0
-1 -12 -62 0
-1 -12 -63 0
-1 -12 -64 0
-1 -12 -65 0
-1 -12 -66 0
-1 -12 -67 0
-1 -12 -68 0
-1 -12 -69 0
-1 -12 -70 0
-1 -12 -71 0
-1 -12 -72 0
-1 -12 -73 0
-1 -12 -74 0
-1 -12 -75 0
-1 -12 -76 0
-1 -12 -77 0
-1 -12 -78 0
-1 -12 -79 0
-1 -12 -80 0
-1 -12 -81 0
-1 -12 -82 0
-1 -12 -83 0
-1 -12 -84 0
-1 -12 -85 0
-1 -12 -86 0
-1 -12 -87 0
-1 -12 -88 0
-1 -12 -89 0
-1 -12 -90 0
-1 -12 -91 0
-1 -12 -92 0
-1 -12 -93 0
-1 -12 -94 0
-1 -12 -95 0
-1 -12 -96 0
-1 -12 -97 0
-1 -12 -98 0
-1 -12 -99 0
-1 -12 -100 0
-1 -12 -101 0
-1 -12 -102 0
-1 -12 -103 0
-1 -12 -104 0
-1 -12 -105 0
-1 -12 -106 0
-1 -12 -107 0
-1 -12 -108 0
-1 -12 -109 0
-1 -12 -110 0
-1 -12 -111 0
-1 -12 -112 0
-1 -12 -113 0
-1 -12 -114 0
-1 -12 -115 0
-1 -12 -116 0
-1 -12 -117 0
-1 -12 -118 0
-1 -12 -119 0
-1 -12 -120 0
-1 -13 -14 0
-1 -13 -15 0
-1 -13 -16 0
-1 -13 -17 0
-1 -13 -18 0
-1 -13 -19 0
-1 -13 -20 0
-1 -13 -21 0
-1 -13 -22 0
-1 -13 -23 0
-1 -13 -24 0
-1 -13 -25 0
-1 -13 -26 0
-1 -13 -27 0
-1 -13 -28 0
-1 -13 -29 0
-1 -13 -30 0
-1 -13 -31 0
-1 -13 -32 0
-1 -13 -33 0
-1 -13 -34 0
-1 -13 -35 0
-1 -13 -36 0
-1 -13 -37 0
-1 -13 -38 0
-1 -13 -39 0
-1 -13 -40 0
